tweet_id,text,label,emotion_name
0,im thinking well i could be a bit smaller but for health reasons and i should see a doctor more regularly because im feeling crappy,0,sadness
1,i was feeling emotional crying for no apparent reason but at the time it feels like the world is ending,0,sadness
2,ive feeling a little blank and could think of nothing to write about which might be interesting to explore or had my mind captivated,0,sadness
3,i will admit with the joy of cooking there are also times where you feel defeated,0,sadness
4,i feel like an ungrateful ass a href http thisisntcuteanymore,0,sadness
5,i also feel lethargic and again,0,sadness
6,i feel dirty watching this series and you can tell how the series is trying to induce false emotions in the viewer,0,sadness
7,i feels so lame,0,sadness
8,i am only providing the link as a courtesy to its author but it was all about stuff that was either before my time or i never experienced even if i lived when it was available so i couldn t feel emotional about any of it,0,sadness
9,i am sitting on the couch and im feeling rather ashamed so to get in the act of things i slap myself,0,sadness
10,i have spent of my waking hours enjoying the freedom of not owning a cellphone feeling smug about it in situations in which a phone would have been awfully convenient and fielding incredulous questions,1,joy
11,i like being in church on sundays it makes me feel more virtuous how self effacing and more settled for the week ahead,1,joy
12,im begging fate not to mess with the next cycle to let it look as pretty as this one so i can at least go in feeling reassured,1,joy
13,i feel honoured today olu jacobs i feel honoured today olu jacobs a href http momo,1,joy
14,i dont have any photos with me because i was too excited and happy about my prejudging which i did great btw at least i feel tt i did since i felt confident and didnt stutter in front the panel of judges we had and dearest bf was around after doors opened for the public,1,joy
15,i want you to know that if i become prime minister in less than a year s time i will be proud to do so as a friend of israel a jew and most of all someone who feels so proud to be part of the community gathered here today,1,joy
16,im now on day two of the plan and im feeling positive,1,joy
17,i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,1,joy
18,i chant the invocation and feel his force supporting me as i teach,1,joy
19,i really feel like we were successful in identifying some pretty scary early warning signs and sticking our foot in the door before it shut,1,joy
20,i was feeling the need for some christmas crafting this week especially after seeing a couple of lovely quilty christmas projects at stitch group,2,love
21,i can feel the warmth of the gentle sun,2,love
22,i have strong feelings about being faithful,2,love
23,i have so much going on in my life and am constantly running like crazy i can always steal a quiet moment to acknowledge this child and the overwhelming excitement and anticipation that i feel god is truly faithful and brings everything around,2,love
24,i feel your prescence a gentle touch,2,love
25,i just can t feel accepted,2,love
26,i feel like i wouldnt have a longing if only we could have a baby and have that new experience together,2,love
27,i feel inside coz i m so fucking horny,2,love
28,i have learned how much more like a neighbourhood this place feels the humans with dogs have been very sympathetic and understand my quixotic need to walk a dog to walk period,2,love
29,i feel like a mom of a compassionate smart stable human being,2,love
30,i wake too early so i feel grumpy,3,anger
31,i was feeling like i said humour gets me through im one of those people who even if i spoke about my issues no one would be too bothered or would care that thought was in my head and wasnt true that way of being like i dont want to burden you sort of thing,3,anger
32,i should pull out if i feel resentful or edgy,3,anger
33,i have felt the need to write out my sometimes anxious feelings impatient thoughts lists of things that still should could be done before this baby arrives,3,anger
34,i always get that feeling that i got one kids more than another and it is vicious,3,anger
35,i lie down he feels my belly listens to babys heartbeat gets mad at me for sitting up without rolling onto my side first and then tells me theres some protein in my urine nothing to be worried about though and asks if anything is bothering me,3,anger
36,i disagree with my parents on many issues and will sometimes let them know my feelings in unkind ways,3,anger
37,i found myself looking at the clock and starting to feel irritated,3,anger
38,i was feeling pretty distracted with a few things that have been going on so it felt good to go with a clear mind,3,anger
39,i feel completely distracted and emotionally drained,3,anger
40,im feeling pretty anxious,4,fear
41,i woke up today feeling kind of strange,4,fear
42,i am and i am looking for some vest tops i have some shorts but long ones due to feel paranoid that i have cellulite everywhere,4,fear
43,i do feel apprehensive and nervous at times about how i am performing with my modules,4,fear
44,i feel scared anxious,4,fear
45,i can easily feel quite pressured by routines and i really noticed the difference while i was away,4,fear
46,i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,4,fear
47,i feel suffocated and paranoid,4,fear
48,i was still feeling hesitant last night but when i woke up i found that i had made my decision and that the slatebook somewhat to my own surprise was what i wanted,4,fear
49,i was trying to demonstrate that i understood what she was feeling but she was very alarmed and worried for my safety,4,fear
50,i feel so damn curious with what this blond doctor plan to do this night,5,surprise
51,i feel the pressure to be funny all the time,5,surprise
52,i feel a little stunned but can t imagine what the folks who were working in the studio up until this morning are feeling,5,surprise
53,i feel so weird and scattered with all wonders about a million different things,5,surprise
54,i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,5,surprise
55,im ok with that it feels a little weird,5,surprise
56,i feel curious because i would like to explore what is at the top of the helterskelter like plant,5,surprise
57,i feel like i would order carryout from if i lived in the area i am still curious to try some of their other tacos,5,surprise
58,i am feeling amazing and seeing the difference,5,surprise
59,i wonder if the homeowners would feel weird if i parked to gape at their landscaping,5,surprise
